date,store_id,product_id,units_demanded,units_sold,units_received,units_in_stock_eod,stockout_flag,promotion_flag
2025-01-01,S01,P001,9,9,0,154,0,0
2025-01-02,S01,P001,7,7,0,147,0,0
2025-01-03,S01,P001,14,14,0,133,0,0
2025-01-04,S01,P001,16,16,0,117,0,0
2025-01-05,S01,P001,12,12,0,105,0,0
2025-01-06,S01,P001,7,7,0,98,0,0
2025-01-07,S01,P001,14,14,0,84,0,0
2025-01-08,S01,P001,7,7,0,77,0,0
2025-01-09,S01,P001,11,11,0,66,0,0
2025-01-10,S01,P001,12,12,0,54,0,0
2025-01-11,S01,P001,13,13,0,41,0,0
2025-01-12,S01,P001,7,7,0,34,0,0
2025-01-13,S01,P001,10,10,0,24,0,0
2025-01-14,S01,P001,15,15,0,9,0,0
2025-01-15,S01,P001,7,7,0,2,0,0
2025-01-16,S01,P001,10,10,109,101,0,0
2025-01-17,S01,P001,7,7,0,94,0,0
2025-01-18,S01,P001,19,19,0,75,0,0
2025-01-19,S01,P001,20,20,0,55,0,1
2025-01-20,S01,P001,8,8,0,47,0,0
2025-01-21,S01,P001,11,11,0,36,0,0
2025-01-22,S01,P001,5,5,0,31,0,0
2025-01-23,S01,P001,13,13,0,18,0,0
2025-01-24,S01,P001,6,6,0,12,0,0
2025-01-25,S01,P001,11,11,109,110,0,0
2025-01-26,S01,P001,13,13,0,97,0,0
2025-01-27,S01,P001,6,6,0,91,0,0
2025-01-28,S01,P001,15,15,0,76,0,0
2025-01-29,S01,P001,6,6,0,70,0,0
2025-01-30,S01,P001,7,7,0,63,0,0
2025-01-31,S01,P001,12,12,0,51,0,0
2025-02-01,S01,P001,16,16,0,35,0,0
2025-02-02,S01,P001,14,14,0,21,0,0
2025-02-03,S01,P001,4,4,0,17,0,0
2025-02-04,S01,P001,10,10,0,7,0,0
2025-02-05,S01,P001,7,7,0,0,0,0
2025-02-06,S01,P001,11,11,109,98,0,0
2025-02-07,S01,P001,15,15,0,83,0,0
2025-02-08,S01,P001,14,14,0,69,0,0
2025-02-09,S01,P001,12,12,0,57,0,0
2025-02-10,S01,P001,6,6,0,51,0,0
2025-02-11,S01,P001,4,4,0,47,0,0
2025-02-12,S01,P001,19,19,0,28,0,0
2025-02-13,S01,P001,9,9,0,19,0,0
2025-02-14,S01,P001,15,15,0,4,0,0
2025-02-15,S01,P001,5,4,0,0,1,0
2025-02-16,S01,P001,15,15,109,94,0,0
2025-02-17,S01,P001,5,5,0,89,0,0
2025-02-18,S01,P001,11,11,0,78,0,0
2025-02-19,S01,P001,14,14,0,64,0,0
2025-02-20,S01,P001,4,4,0,60,0,0
2025-02-21,S01,P001,14,14,0,46,0,0
2025-02-22,S01,P001,18,18,0,28,0,0
